id,name,englishName,description,type1,type2,hp,attack,defense,rarity,size,foodAmount,partnerSkill,work1,work2,work3,activeSkills,dropItem1,dropItem2,eggType,imageFile
118,수트시어,Sootseer,그을음 예언자. 어둠과 연기 속에서 미래를 내다보는 신비로운 팰.,Dark,,100,110,80,3,M,3,Dark Divination,Kindling Lv. 2,Handiwork Lv. 1,,"Dark Ball, Shadow Burst, Fire Ball, Spirit Fire, Dark Laser",Pal Oil,Coal,Dark Large Egg,118_menu.webp
119,프릭스터,Prixter,장난기 많은 숲의 요정. 무궁무진한 장난으로 상대를 농락한다.,Grass,Electric,90,105,75,3,M,3,Trickster,Planting Lv. 2,Gathering Lv. 2,,"Power Shot, Seed Bomb, Lightning Streak, Grass Tornado, Shock Wave",Pal Oil,Beautiful Flower,Verdant Egg,119_menu.webp
120,녹클렘,Knocklem,강력한 주먹을 가진 격투 팰. 바위라도 한 방에 박살낸다.,Ground,,110,120,90,4,M,3,Power Punch,Mining Lv. 3,Handiwork Lv. 1,,"Power Shot, Stone Blast, Rock Throw, Seismic Slam, Earthquake",Pal Oil,Stone,Rocky Egg,120_menu.webp
121,야쿠모,Yakumo,신비로운 물의 정령. 깨끗한 물을 찾아 끝없이 여행한다.,Water,,85,95,95,3,M,3,Water Spirit,Watering Lv. 3,Cooling Lv. 1,,"Power Shot, Hydro Pump, Water Gun, Bubble Blast, Aqua Burst",Pal Oil,Pal Fluid,Damp Egg,121_menu.webp
122,도겐,Dogen,얼음과 번개의 이중 속성을 가진 희귀한 팰. 극한의 추위와 전기를 다룬다.,Ice,Electric,100,100,85,4,M,3,Frozen Lightning,Cooling Lv. 2,Electricity Lv. 2,,"Power Shot, Ice Missile, Lightning Streak, Blizzard Spike, Thunder Storm",Pal Oil,Ice Organ,Frozen Egg,122_menu.webp
123,다제무,Dazemu,눈부신 번개의 힘을 가진 팰. 번쩍이는 전기로 적을 마비시킨다.,Electric,,95,115,70,3,M,3,Dazzling Flash,Electricity Lv. 3,Handiwork Lv. 1,,"Power Shot, Lightning Streak, Thunder Storm, Shock Wave, Electric Ball",Pal Oil,Electric Organ,Electric Egg,123_menu.webp
124,미모그,Mimog,다른 팰의 모습을 완벽하게 모방하는 신비로운 팰. 정체를 알 수 없다.,Dark,,80,90,100,4,M,3,Perfect Mimicry,Handiwork Lv. 3,Transporting Lv. 2,,"Power Shot, Dark Ball, Shadow Burst, Nightmare Ball, Mimic Attack",Pal Oil,Small Pal Soul,Dark Egg,124_menu.webp
125,제노베이더,Xenovader,외계에서 온 침입자. 알 수 없는 기술로 무장하고 있다.,Dark,Dragon,120,125,90,5,L,3,Alien Technology,Handiwork Lv. 2,Mining Lv. 1,,"Power Shot, Dark Laser, Void Blast, Alien Ray, Dark Cannon",Pal Oil,Pal Metal Ingot,Dragon Egg,125_menu.webp
126,제노가드,Xenogard,외계 문명의 수호자. 강력한 방어막으로 아군을 보호한다.,Dark,Dragon,140,100,120,5,L,3,Guardian Shield,Handiwork Lv. 2,Mining Lv. 2,,"Power Shot, Barrier Shield, Dark Pulse, Energy Dome, Protective Ray",Pal Oil,Pal Metal Ingot,Dragon Egg,126_menu.webp
127,제노로드,Xenolord,외계 종족의 최고 지배자. 절대적인 힘으로 모든 것을 통치한다.,Dark,Dragon,160,140,110,6,XL,3,Supreme Domination,Handiwork Lv. 4,Mining Lv. 3,,"Power Shot, Dark Storm, Void Explosion, Cosmic Ray, Annihilation Beam",Pal Oil,Pal Metal Ingot,Legendary Dragon Egg,127_menu.webp
131,스모키,Smokie,"검은 불꽃은 만져도 따뜻할 뿐이지만, 계속 접촉하면 안에서부터 천천히 녹아내린다. 치즈를 그 위에 올리면 진정한 별미가 된다.",화염,,80,90,75,3,S,3,파헤쳐라! 활성화시 예리한 후각으로 근처의 크로마이트를 탐지한다. 함께 싸우는 동안 대량의 크로마이트를 획득한다.,채집 Lv. 2,,,"파이어 샷, 다크 볼, 플레임 버스트, 파이어 브레스, 인페르노",뼈,원유,Dark Large Egg,131_menu.webp
132,셀레스디르,Celesdir,고대 문헌에서는 구원의 짐승이라고 언급한다. 셀레스디르가 내뿜는 빛은 모든 것을 정화하여 흔적도 없이 존재에서 사라지게 만든다.,용,번개,4400,743,635,4,L,3,정화의 축복 - 탈 수 있다. 탑승 중 플레이어의 자동 회복 속도를 증가시킨다.,"벌목 Lv. 4, 채집 Lv. 1",,,"파워 샷, 용 대포, 성스러운 폭발, 정화 광선, 천상의 화염",헥솔라이트 쿼츠,뿔,Large Regular Egg,132_menu.webp
133,오마스쿨,Omascul,"가면은 그의 얼굴이 아니라고들 한다. 앞에 있는 것 같지만 거기에는 없고, 그림자 깊숙한 곳에서 밤낮으로 지켜본다. 시선을 돌리면 더 가까이 다가온다.",어둠,,85,95,90,3,M,3,그림자 추적자 - 적의 위치를 파악하고 은밀하게 접근한다.,"수작업 Lv. 2, 운반 Lv. 1",,,"다크 볼, 섀도우 버스트, 악몽의 구체, 그림자 분신, 어둠의 돌격",작은 팰 영혼,어둠의 파편,Dark Large Egg,133_menu.webp
